date,open,high,close,low,volume,price_change,change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2012/8/13,16.19,16.44,16.23,15.75,23755.84,0.04,0.25,16.23,16.23,16.23,23755.84,23755.84,23755.84,1.28
2012/8/14,16,16.18,15.85,14.61,91102.63,-0.38,-2.34,16.04,16.04,16.04,57429.24,57429.24,57429.24,4.93
2012/8/15,15.81,16.22,16.2,15.58,35009.83,0.35,2.21,16.093,16.093,16.093,49956.1,49956.1,49956.1,1.89
2012/8/16,16.2,16.87,16.79,16.15,47168.36,0.59,3.64,16.268,16.268,16.268,49259.17,49259.17,49259.17,2.55
2012/8/17,16.5,17.2,16.87,16.5,42809.46,0.08,0.48,16.388,16.388,16.388,47969.22,47969.22,47969.22,2.31
2012/8/20,16.83,16.83,16.4,15.55,47296.37,-0.47,-2.79,16.422,16.39,16.39,52677.33,47857.08,47857.08,2.56
2012/8/21,16.39,16.54,16.46,16.02,22978.43,0.06,0.37,16.544,16.4,16.4,39052.49,44302.99,44302.99,1.24
2012/8/22,16.35,16.73,16.41,16.29,15796.51,-0.05,-0.3,16.586,16.401,16.401,35209.83,40739.68,40739.68,0.85
2012/8/23,16.32,16.58,16.34,16.32,14739.97,-0.07,-0.43,16.496,16.394,16.394,28724.15,37850.82,37850.82,0.8
2012/8/24,16.21,16.56,16.17,16.11,19600.23,-0.17,-1.04,16.356,16.372,16.372,24082.3,36025.76,36025.76,1.06
2012/8/27,16.16,16.39,16.09,15.58,26617.96,-0.08,-0.49,16.294,16.358,16.346,19946.62,36311.98,35170.51,1.44
2012/8/28,16.09,16.46,16.4,15.82,18327.41,0.31,1.93,16.282,16.413,16.351,19016.42,29034.45,33766.92,0.99
2012/8/29,16.53,16.53,15.78,15.7,30866.91,-0.62,-3.78,16.156,16.371,16.307,22030.5,28620.16,33543.84,1.67
2012/8/30,15.61,15.98,15.94,15.2,18242.93,0.16,1.01,16.076,16.286,16.281,22731.09,25727.62,32450.92,0.99
2012/8/31,15.94,16,15.97,15.65,13802.33,0.03,0.19,16.036,16.196,16.26,21571.51,22826.91,31207.68,0.75
2012/9/3,16,16.65,16.5,16,25016.65,0.53,3.32,16.118,16.206,16.275,21251.25,20598.93,30820.74,1.35
2012/9/4,16.66,16.68,16.46,16.33,18281.11,-0.04,-0.24,16.13,16.206,16.286,21241.99,20129.2,30083.11,0.99
2012/9/5,16.52,16.6,16.47,16.27,11794.35,0.01,0.06,16.268,16.212,16.296,17427.47,19728.99,29067.07,0.64
2012/9/6,16.47,16.77,16.61,16.36,13479.35,0.14,0.85,16.402,16.239,16.313,16474.76,19602.92,28246.66,0.73
2012/9/7,16.63,17.31,17.26,16.52,37676.3,0.65,3.91,16.66,16.348,16.36,21249.55,21410.53,28718.15,2.04
2012/9/10,17.27,17.48,17.19,16.81,28340.13,-0.07,-0.41,16.798,16.458,16.408,21914.25,21582.75,28947.36,1.53
2012/9/11,17.01,17.01,16.28,15.9,70274.48,-0.91,-5.29,16.762,16.446,16.43,32312.92,26777.45,27905.95,3.8
2012/9/12,16.28,16.47,15.81,15.16,61790.75,-0.47,-2.89,16.63,16.449,16.41,42312.2,29869.84,29245,3.34
2012/9/13,15.6,15.98,15.29,15.2,37924.79,-0.52,-3.29,16.366,16.384,16.335,47201.29,31838.02,28782.82,2.05
2012/9/14,15.52,15.74,15.39,14.75,49861.89,0.1,0.65,15.992,16.326,16.261,49638.41,35443.98,29135.44,2.7
2012/10/8,16.93,16.93,16.3,16.16,83588.72,0.91,5.91,15.814,16.306,16.256,60688.13,41301.19,30950.06,4.52
2012/10/9,16.03,16.51,16.44,16,50023.99,0.14,0.86,15.846,16.304,16.255,56638.03,44475.47,32302.34,2.7
2012/10/10,16.38,17.39,17,16.32,57752.95,0.56,3.41,16.084,16.357,16.285,55830.47,49071.33,34400.16,3.12
2012/10/11,16.99,17.09,16.8,16.72,29846.26,-0.2,-1.18,16.386,16.376,16.308,54214.76,50708.03,35155.47,1.61
2012/10/12,16.8,16.99,16.95,16.5,25784.73,0.15,0.89,16.698,16.345,16.347,49399.33,49518.87,35464.7,1.39
2012/10/15,17.2,17.2,16.74,16.65,40695.61,-0.21,-1.24,16.786,16.3,16.379,40820.71,50754.42,36168.58,2.2
2012/10/16,16.83,16.83,16.28,16.27,32199.99,-0.46,-2.75,16.754,16.3,16.373,37255.91,46946.97,36862.21,1.74
2012/10/17,16.4,16.4,16.06,15.75,22153.6,-0.22,-1.35,16.566,16.325,16.387,30136.04,42983.25,36426.55,1.2
2012/10/18,16.14,16.37,16.28,16.06,14269.98,0.22,1.37,16.462,16.424,16.404,27020.78,40617.77,36227.9,0.77
2012/10/19,16.29,16.48,16.36,16.19,19245.93,0.08,0.49,16.344,16.521,16.424,25713.02,37556.18,36500.08,1.04
2012/10/22,16.5,16.67,16.3,16.23,19007.19,-0.06,-0.37,16.256,16.521,16.414,21375.34,31098.02,36199.6,1.03
2012/10/23,16.48,16.48,16.14,15.87,16754.29,-0.16,-0.98,16.228,16.491,16.398,18286.2,27771.05,36123.26,0.91
2012/10/24,16.1,17.17,16.85,16.1,54384.84,0.71,4.4,16.386,16.476,16.417,24732.45,27434.24,38252.79,2.94
2012/10/25,16.7,16.92,16.47,16.42,22327.24,-0.38,-2.25,16.424,16.443,16.41,26343.9,26682.34,38695.18,1.21
2012/10/26,16.47,16.69,16.67,16.24,19681.99,0.2,1.21,16.486,16.415,16.38,26431.11,26072.07,37795.47,1.06
2012/10/29,16.7,16.71,16.3,16.18,13169.7,-0.37,-2.22,16.486,16.371,16.336,25263.61,23319.48,37036.95,0.71
2012/10/30,16.25,16.42,16.2,15.95,14439.66,-0.1,-0.61,16.498,16.363,16.332,24800.69,21543.44,34245.21,0.78
2012/10/31,16.32,16.32,16.08,15.99,12870.8,-0.12,-0.74,16.344,16.365,16.345,16497.88,20615.16,31799.21,0.7
2012/11/1,16.15,16.28,16.18,16.08,14927.58,0.1,0.62,16.286,16.355,16.39,15017.95,20680.92,30649.35,0.81
2012/11/2,17.8,17.8,15.8,15.8,40738.71,-0.38,-2.35,16.112,16.299,16.41,19229.29,22830.2,30193.19,2.2
