Date Time,Open,High,Low,Close,Volume,Adj Close
2015-01-05 09:30:00,5.81,5.89,5.8,5.85,161614.0,5.84
2015-01-05 09:35:00,5.85,5.88,5.8,5.8,214286.0,5.8
2015-01-05 09:40:00,5.8,5.82,5.7,5.73,135119.0,5.73
2015-01-05 09:45:00,5.74,5.75,5.69,5.75,418686.0,5.71
2015-01-05 09:50:00,5.75,5.75,5.65,5.65,612295.0,5.65
2015-01-05 09:55:00,5.65,5.67,5.58,5.59,432000.0,5.58
2015-01-05 10:00:00,5.59,5.6,5.52,5.54,408600.0,5.52
2015-01-05 10:05:00,5.54,5.56,5.49,5.53,707000.0,5.53
2015-01-05 10:10:00,5.53,5.55,5.52,5.55,358575.0,5.53
2015-01-05 10:15:00,5.55,5.55,5.52,5.54,533800.0,5.53
2015-01-05 10:20:00,5.54,5.54,5.5,5.53,359125.0,5.52
2015-01-05 10:25:00,5.51,5.52,5.46,5.46,392500.0,5.46
2015-01-05 10:30:00,5.46,5.53,5.46,5.52,261362.0,5.52
2015-01-05 10:35:00,5.52,5.54,5.52,5.54,156400.0,5.53
2015-01-05 10:40:00,5.54,5.57,5.54,5.56,236400.0,5.56
2015-01-05 10:45:00,5.57,5.57,5.56,5.56,67200.0,5.56
2015-01-05 10:50:00,5.56,5.56,5.53,5.55,100910.0,5.54
2015-01-05 10:55:00,5.55,5.57,5.54,5.56,97920.0,5.56
2015-01-05 11:00:00,5.57,5.58,5.56,5.58,120786.0,5.58
2015-01-05 11:05:00,5.58,5.63,5.58,5.62,191700.0,5.61
2015-01-05 11:10:00,5.63,5.63,5.61,5.62,41600.0,5.62
2015-01-05 11:15:00,5.62,5.62,5.61,5.61,84100.0,5.61
2015-01-05 11:20:00,5.61,5.62,5.6,5.6,53900.0,5.6
2015-01-05 11:25:00,5.61,5.62,5.61,5.62,70943.0,5.61
2015-01-05 11:30:00,5.62,5.62,5.62,5.62,1000.0,5.62
2015-01-05 13:00:00,5.62,5.66,5.62,5.66,154120.0,5.65
2015-01-05 13:05:00,5.66,5.68,5.65,5.68,111600.0,5.67
2015-01-05 13:10:00,5.68,5.7,5.67,5.69,97205.0,5.68
2015-01-05 13:15:00,5.69,5.72,5.68,5.72,51600.0,5.7
2015-01-05 13:20:00,5.7,5.71,5.66,5.67,244550.0,5.66
2015-01-05 13:25:00,5.67,5.69,5.66,5.69,48585.0,5.69
2015-01-05 13:30:00,5.69,5.69,5.67,5.67,76100.0,5.67
2015-01-05 13:35:00,5.67,5.68,5.66,5.68,101900.0,5.67
2015-01-05 13:40:00,5.68,5.69,5.68,5.69,34700.0,5.69
2015-01-05 13:45:00,5.69,5.69,5.67,5.67,70522.0,5.67
2015-01-05 13:50:00,5.67,5.68,5.66,5.66,66996.0,5.66
2015-01-05 13:55:00,5.66,5.68,5.66,5.68,37100.0,5.67
2015-01-05 14:00:00,5.68,5.69,5.67,5.69,100205.0,5.69
2015-01-05 14:05:00,5.69,5.69,5.66,5.66,848042.0,5.66
2015-01-05 14:10:00,5.67,5.69,5.66,5.69,1315497.0,5.68
2015-01-05 14:15:00,5.69,5.7,5.66,5.66,360900.0,5.66
2015-01-05 14:20:00,5.66,5.67,5.65,5.66,326768.0,5.66
2015-01-05 14:25:00,5.66,5.69,5.66,5.69,120600.0,5.69
2015-01-05 14:30:00,5.68,5.69,5.67,5.68,106700.0,5.68
2015-01-05 14:35:00,5.68,5.7,5.67,5.68,156300.0,5.67
2015-01-05 14:40:00,5.68,5.69,5.68,5.68,133000.0,5.68
2015-01-05 14:45:00,5.68,5.68,5.65,5.65,469703.0,5.65
2015-01-05 14:50:00,5.66,5.66,5.6,5.62,636100.0,5.61
2015-01-05 14:55:00,5.6,5.64,5.59,5.64,1234125.0,5.62
2015-01-05 15:00:00,5.64,5.64,5.62,5.64,53100.0,5.62
2015-01-06 09:30:00,5.58,5.58,5.53,5.55,114200.0,5.54
2015-01-06 09:35:00,5.55,5.55,5.54,5.54,306836.0,5.54
2015-01-06 09:40:00,5.55,5.56,5.54,5.55,232000.0,5.55
2015-01-06 09:45:00,5.54,5.57,5.54,5.56,175850.0,5.56
2015-01-06 09:50:00,5.57,5.64,5.55,5.64,523672.0,5.57
2015-01-06 09:55:00,5.64,5.64,5.59,5.59,220900.0,5.59
2015-01-06 10:00:00,5.59,5.6,5.59,5.6,91600.0,5.59
2015-01-06 10:05:00,5.6,5.63,5.58,5.63,220100.0,5.6
2015-01-06 10:10:00,5.63,5.64,5.61,5.64,70976.0,5.63
2015-01-06 10:15:00,5.64,5.66,5.64,5.65,106200.0,5.65
2015-01-06 10:20:00,5.64,5.64,5.61,5.61,113124.0,5.61
2015-01-06 10:25:00,5.61,5.62,5.59,5.6,199800.0,5.59
2015-01-06 10:30:00,5.6,5.62,5.59,5.62,95200.0,5.61
2015-01-06 10:35:00,5.62,5.62,5.6,5.61,88900.0,5.6
2015-01-06 10:40:00,5.61,5.61,5.59,5.6,59500.0,5.59
2015-01-06 10:45:00,5.6,5.61,5.58,5.58,146200.0,5.58
2015-01-06 10:50:00,5.57,5.57,5.56,5.57,179658.0,5.57
2015-01-06 10:55:00,5.57,5.58,5.57,5.58,35800.0,5.57
2015-01-06 11:00:00,5.58,5.58,5.57,5.58,61500.0,5.58
