date,open,high,close,low,volume,amount
2017-05-25,16.95,17.15,16.99,16.84,2769759.0,47158227.0
2017-05-24,17.2,17.41,16.82,16.72,3383104.0,57300503.0
2017-05-23,17.75,17.99,17.41,17.36,1831028.0,32458338.0
2017-05-22,17.85,18.06,17.74,17.69,1413485.0,25259907.0
2017-05-19,17.81,18.07,17.85,17.8,1316516.0,23556498.0
2017-05-18,17.8,18.09,17.8,17.75,1393325.0,24972463.0
2017-05-17,17.87,18.29,17.93,17.75,2299742.0,41496842.0
2017-05-16,17.5,17.71,17.7,17.18,2254104.0,39228433.0
2017-05-15,17.3,17.76,17.51,17.3,1462141.0,25659128.0
2017-05-12,17.85,17.97,17.6,17.13,3242013.0,56697424.0
2017-05-11,18.35,18.35,17.92,17.51,2563392.0,45640888.0
2017-05-10,18.63,18.8,18.32,18.27,1955174.0,36255220.0
2017-05-09,18.53,18.83,18.72,18.48,1543239.0,28829440.0
2017-05-08,18.58,18.85,18.52,18.45,1979403.0,36959173.0
2017-05-05,19.1,19.24,18.64,18.5,3465032.0,65279300.0
2017-05-04,19.31,19.35,19.11,19.01,1809959.0,34662403.0
2017-05-03,19.28,19.65,19.35,19.11,3275171.0,63389072.0
2017-05-02,19.2,19.76,19.38,19.1,2536962.0,49304988.0
2017-04-28,18.87,19.5,19.45,18.75,3856528.0,74354129.0
2017-04-27,18.9,18.92,18.74,18.26,3864890.0,71812454.0
2017-04-26,18.85,19.0,18.8,18.55,2355997.0,44240364.0
2017-04-25,18.88,19.05,18.75,18.7,2203890.0,41525743.0
2017-04-24,19.58,19.58,18.72,18.7,4001066.0,76038565.0
2017-04-21,19.49,19.74,19.63,19.38,2730989.0,53323493.0
2017-04-20,20.07,20.16,19.5,19.21,7800618.0,153184762.0
2017-04-19,21.3,21.53,20.23,20.0,10622990.0,220578230.0
2017-04-18,20.61,21.78,21.47,20.52,11161635.0,238628815.0
2017-04-17,20.67,21.54,20.84,20.43,5549328.0,116662351.0
2017-04-14,21.21,21.42,20.66,20.51,7510273.0,156844270.0
2017-04-13,21.3,21.8,21.43,21.02,7742964.0,165976827.0
2017-04-12,20.26,22.66,21.41,20.26,14275349.0,308056013.0
2017-04-11,20.36,20.86,20.66,20.03,8787653.0,178639003.0
