,code
0,600051
1,600209
2,600256
3,600576
4,600603
5,600614
6,600620
7,600622
8,600624
9,600647
10,600687
11,600701
12,600730
13,600770
14,600800
15,600805
16,600811
17,600846
18,600892
19,600012
20,600020
21,600033
22,600035
23,600106
24,600269
25,600350
26,600368
27,600377
28,600548
29,601107
30,601188
31,601518
32,600061
33,600063
34,600527
35,600810
36,600889
37,601113
38,601233
39,300180
40,600031
41,600114
42,600149
43,600169
44,600218
45,600243
46,600262
47,600320
48,600388
49,600421
50,600435
51,600475
52,600520
53,600526
54,600582
55,600592
56,600619
57,600761
58,600765
59,600815
60,600841
61,600855
62,600984
63,601002
64,601038
65,601100
66,601106
67,601177
68,601218
69,601369
70,601608
71,601717
72,601798
73,300023
74,300024
75,300035
76,300090
77,300091
78,300092
79,300095
80,300103
81,300116
82,300126
83,300145
84,300151
85,300152
86,300159
87,300173
88,300185
89,300193
90,300201
91,300202
92,300228
93,300257
94,300260
95,300272
96,300276
97,300281
98,300293
99,300307
100,300308
101,300309
102,300334
103,600062
104,600079
105,600080
106,600085
107,600129
108,600161
109,600196
110,600200
111,600201
112,600216
113,600222
114,600252
115,600267
116,600276
117,600285
118,600329
119,600332
120,600351
121,600380
122,600420
123,600422
124,600436
125,600466
126,600479
127,600488
128,600518
129,600521
130,600530
131,600535
132,600557
133,600566
134,600572
135,600594
136,600613
137,600664
138,600666
139,600671
140,600750
141,600771
142,600781
143,600789
144,600812
145,600829
146,600976
147,600993
148,300006
149,300009
150,300016
151,300026
152,300039
153,300049
154,300086
155,300110
156,300119
157,300122
158,300147
159,300194
160,300199
161,300204
162,300233
163,300239
164,300254
165,300255
166,300267
167,300289
168,600028
169,600387
170,600583
171,600688
172,600759
173,600871
174,601808
175,601857
176,603003
177,300084
178,600176
179,600184
180,600293
181,600552
182,600586
183,600629
184,600819
185,600876
186,601636
187,300160
188,600651
189,600848
190,601222
191,601567
192,300012
193,300066
194,300097
195,300105
196,300124
197,300137
198,300165
199,300259
200,300286
201,300306
202,300338
203,600004
204,600009
205,600017
206,600018
207,600026
208,600029
209,600057
210,600115
211,600119
212,600125
213,600180
214,600190
215,600221
216,600242
217,600270
218,600279
219,600317
220,600386
221,600428
222,600495
223,600611
224,600650
225,600662
226,600692
227,600708
228,600717
229,600751
230,600787
231,600834
232,600835
233,600894
234,600896
235,600897
236,601000
237,601006
238,601008
239,601018
240,601111
241,601313
242,601333
243,601766
244,601866
245,601872
246,601880
247,601919
248,300013
249,300240
250,600038
251,600118
252,600316
253,600343
254,600372
255,600391
256,600893
257,600108
258,600127
259,600189
260,600195
261,600251
262,600257
263,600265
264,600275
265,600313
266,600354
267,600359
268,600371
269,600438
270,600467
271,600506
272,600540
273,600598
274,600965
275,600975
276,601996
277,300021
278,300106
279,300268
280,300313
281,600039
282,600068
283,600170
284,600248
285,600284
286,600321
287,600326
288,600491
289,600502
290,600512
291,600528
292,600545
293,600820
294,600853
295,600970
296,600986
297,601117
298,601186
299,601390
300,601618
301,601668
302,601669
303,601800
304,601886
305,300080
306,300117
307,300284
308,300344
309,600143
310,600444
311,600458
312,300198
313,300218
314,300221
315,300230
316,300305
317,300321
318,300325
319,600056
320,600280
321,600306
322,600327
323,600361
324,600415
325,600511
326,600628
327,600655
328,600693
329,600694
330,600697
331,600712
332,600713
333,600723
334,600738
335,600774
336,600785
337,600821
338,600824
339,600827
340,600833
341,600838
342,600856
343,600857
344,600858
345,600859
346,600861
