date,open,close,high,low,volume,code
2006-07-03,1677.31,1697.28,1697.83,1670.02,48636600.0,sh000001
2006-07-04,1700.32,1681.55,1702.66,1670.13,54316500.0,sh000001
2006-07-05,1755.22,1718.56,1757.47,1703.58,60720800.0,sh000001
2006-07-06,1715.28,1741.47,1742.2,1711.65,50062700.0,sh000001
2006-07-07,1746.52,1730.19,1750.03,1724.68,49430100.0,sh000001
2006-07-10,1730.7,1734.33,1737.03,1715.83,39049500.0,sh000001
2006-07-11,1736.99,1745.81,1746.72,1725.23,40085400.0,sh000001
2006-07-12,1745.88,1740.0,1753.28,1738.0,48785900.0,sh000001
2006-07-13,1736.21,1655.77,1737.59,1654.49,67471600.0,sh000001
2006-07-14,1641.14,1665.21,1676.75,1633.9,41587800.0,sh000001
2006-07-17,1662.05,1682.89,1684.34,1653.6,32203900.0,sh000001
2006-07-18,1682.36,1684.25,1684.67,1666.31,31405400.0,sh000001
2006-07-19,1681.77,1645.16,1681.77,1637.49,35059800.0,sh000001
2006-07-20,1642.62,1655.12,1658.05,1636.26,28661200.0,sh000001
2006-07-21,1653.81,1665.33,1669.29,1653.51,29960500.0,sh000001
2006-07-24,1648.75,1665.94,1667.62,1632.69,31184000.0,sh000001
2006-07-25,1668.14,1685.46,1690.61,1668.14,34237800.0,sh000001
2006-07-26,1688.54,1686.65,1691.43,1675.66,31167200.0,sh000001
2006-07-27,1685.35,1675.17,1701.61,1665.39,36201800.0,sh000001
2006-07-28,1674.43,1662.03,1678.53,1646.35,33269000.0,sh000001
2006-07-31,1659.54,1612.73,1659.54,1611.16,33654500.0,sh000001
2006-08-01,1619.64,1600.61,1625.04,1596.66,32310700.0,sh000001
2006-08-02,1598.76,1600.87,1608.78,1577.9,27865800.0,sh000001
2006-08-03,1599.75,1601.06,1609.43,1587.12,20822300.0,sh000001
2006-08-04,1601.61,1570.15,1612.1,1567.25,25867100.0,sh000001
2006-08-07,1561.8,1547.44,1570.05,1541.41,24099200.0,sh000001
2006-08-08,1547.91,1580.58,1581.75,1547.91,23383000.0,sh000001
2006-08-09,1581.8,1578.57,1585.17,1571.71,21636000.0,sh000001
2006-08-10,1578.35,1606.06,1606.94,1577.86,26323100.0,sh000001
